actor_id,sentence,emotion,emotion_level,text
1001,DFA,Anger,XX,don't forget a jacket
1001,DFA,Fear,XX,temperature jacket
1001,DFA,Neutral,XX,don't forget a jacket
1001,IEO,Anger,HI,it's 11 O'Clock
1001,IEO,Anger,MD,it's 11:00
1001,IEO,Happy,HI,it's 11 O'Clock
1001,IOM,Fear,XX,I bought my way to the meeting
1001,ITH,Neutral,XX,I think I have a doctor's appointment
1001,ITS,Anger,XX,I think I've seen this before
1001,ITS,Neutral,XX,I think I've seen this before
1001,IWL,Anger,XX,I would like a new alarm clock
1001,IWL,Disgust,XX,I would like to do alarm clock
1001,IWL,Neutral,XX,I would like to do a lot clock
1001,IWL,Sad,XX,I would like to do alarm clock
1001,IWW,Anger,XX,I want about this is about
1001,IWW,Neutral,XX,I want about this is about
1001,MTI,Anger,XX,baby tomorrow will be cold
1001,MTI,Disgust,XX,maybe tomorrow will be cold
1001,MTI,Happy,XX,maybe tomorrow will be cold
1001,MTI,Neutral,XX,baby tomorrow it will be cold
1001,MTI,Sad,XX,maybe tomorrow it will be called
1001,TIE,Anger,XX,that is exactly what happened
1001,TIE,Disgust,XX,direction exactly what happened
1001,TIE,Fear,XX,that is exactly what happened
1001,TIE,Happy,XX,that is exactly what happened
1001,TIE,Neutral,XX,that is exactly what happened
1001,TSI,Anger,XX,the surface is flick
1001,TSI,Neutral,XX,the surface is flick
1001,WSI,Neutral,XX,will stop in a couple of minutes
1002,DFA,Fear,XX,don't forget to jacket
1002,IEO,Anger,HI,it's 11:00
1002,IEO,Disgust,HI,it's 11:00
1002,IEO,Fear,MD,11:00
1002,IEO,Happy,HI,it's 11:00
1002,IEO,Happy,LO,it's 11:00
1002,IEO,Neutral,XX,it's 11:00
1002,IOM,Fear,XX,I'm on my way to the meeting
1002,IOM,Neutral,XX,I am on my way to the meeting
1002,ITH,Anger,XX,I think I have a doctor's appointment
1002,ITH,Neutral,XX,I think I have a doctor's appointment
1002,ITS,Neutral,XX,I think I've seen this before
1002,IWL,Anger,XX,new alarm clock
1002,IWL,Disgust,XX,I would like a new alarm clock
1002,IWL,Fear,XX,I would like a new alarm clock
1002,IWL,Neutral,XX,I would like a new alarm clock
1002,MTI,Anger,XX,baby tomorrow will be cold
1002,MTI,Disgust,XX,maybe tomorrow it will be called
1002,TAI,Fear,XX,can you play the song
1002,TAI,Neutral,XX,airplane is almost for
1002,TIE,Anger,XX,that is exactly what happened
1002,TIE,Disgust,XX,exactly what happen
1002,TIE,Fear,XX,exactly what happened
1002,TIE,Sad,XX,that is exactly what happened
1003,DFA,Anger,XX,don't forget to jacket
1003,DFA,Disgust,XX,don't forget to jacket
1003,DFA,Fear,XX,don't forget to jacket
1003,DFA,Neutral,XX,don't forget a jacket
1003,IEO,Anger,LO,11:00
1003,IEO,Anger,MD,it's a 11:00
1003,IOM,Anger,XX,I am on my way to the meeting
1003,IOM,Disgust,XX,I am on my way to the meeting
1003,IOM,Fear,XX,I am on my way to the meeting
1003,IOM,Neutral,XX,I am on my way to the meeting
1003,ITH,Anger,XX,think I have a doctor's appointment
1003,ITH,Disgust,XX,I have a doctor's appointment
1003,ITH,Fear,XX,I think I have a doctor's appointment
1003,ITH,Happy,XX,I think I have a doctor's appointment
1003,ITH,Neutral,XX,I think I have a doctor's appointment
1003,ITH,Sad,XX,I think I have a doctor's appointment
1003,ITS,Anger,XX,I think I seen this before
1003,ITS,Neutral,XX,I think I've seen this before
1003,ITS,Sad,XX,you can have seen this before
1003,IWL,Anger,XX,I would like a new alarm clock
1003,IWL,Disgust,XX,I would like a new alarm clock
1003,IWL,Fear,XX,I would like a new alarm clock
1003,IWL,Happy,XX,I would like a new alarm clock
1003,IWL,Neutral,XX,I would like a new alarm clock
1003,IWL,Sad,XX,I would like a new alarm clock
1003,IWW,Anger,XX,I Wonder What this is about
1003,IWW,Fear,XX,I Wonder What this
1003,IWW,Happy,XX,I Wonder What this is about
1003,IWW,Neutral,XX,I Wonder What this is about
1003,IWW,Sad,XX,I Wonder What this is about
1003,MTI,Anger,XX,maybe tomorrow will be
1003,MTI,Disgust,XX,maybe tomorrow will be cold
1003,MTI,Fear,XX,maybe tomorrow will be cold
1003,MTI,Happy,XX,maybe tomorrow will be cold
1003,MTI,Neutral,XX,maybe tomorrow it will be called
1003,MTI,Sad,XX,maybe tomorrow I will be cold
1003,TAI,Disgust,XX,airplane is almost 4
1003,TAI,Fear,XX,they are playing is almost 4
1003,TAI,Happy,XX,the airplane is almost for
1003,TAI,Neutral,XX,the airplane is almost full
1003,TAI,Sad,XX,the airplane is almo
1003,TIE,Anger,XX,that is exactly what happened
1003,TIE,Disgust,XX,that is exactly what happened
1003,TIE,Fear,XX,that is exactly what happened
1003,TIE,Happy,XX,that is exactly what happened
1003,TIE,Neutral,XX,that is exactly what happened
1003,TIE,Sad,XX,that is exactly what happened
1003,TSI,Happy,XX,the surface is flick
1003,TSI,Neutral,XX,the surface is slack
1003,WSI,Anger,XX,will stop in a couple of minutes
1003,WSI,Fear,XX,stop in a couple of minutes
1003,WSI,Neutral,XX,will stop in a couple of minutes
1004,DFA,Anger,XX,don't forget a jacket
1004,DFA,Neutral,XX,don't forget a jacket
1004,IEO,Anger,HI,it's 11 O'Clock
1004,IEO,Anger,LO,it's 11 O'Clock
1004,IEO,Anger,MD,it's 11 O'Clock
1004,IEO,Disgust,HI,set alarm
1004,IEO,Fear,MD,it's 11:00
1004,IEO,Happy,HI,it's 11 O'Clock
1004,IEO,Neutral,XX,it's 11:00
1004,IOM,Anger,XX,I am on my way to the meeting
1004,IOM,Happy,XX,I want my way to
1004,IOM,Neutral,XX,I'm on my way to the meeting
1004,ITH,Anger,XX,I think I have a doctor's appointment
1004,ITH,Disgust,XX,I think I have a doctor's appointment
1004,ITH,Neutral,XX,I think I have a doctor's appointment
1004,ITS,Neutral,XX,I think I've seen
1004,IWL,Anger,XX,I would like a new alarm clock
1004,IWL,Fear,XX,I would like a new alarm clock
1004,IWL,Neutral,XX,I would like a new alarm clock
1004,IWL,Sad,XX,I would like a new alarm clock
1004,IWW,Neutral,XX,I Wonder What this is about
1004,MTI,Anger,XX,maybe tomorrow it will be cold
1004,MTI,Disgust,XX,maybe tomorrow will be called
1004,MTI,Neutral,XX,maybe tomorrow it will be cold
1004,TAI,Disgust,XX,airplane is almost fall
1004,TAI,Neutral,XX,the airplane is almost for
1004,TIE,Anger,XX,exactly what happened
1004,TIE,Disgust,XX,that is exactly what happened
1004,TIE,Fear,XX,what happened
1004,TIE,Happy,XX,that is exactly what happened
1004,TSI,Neutral,XX,the surface is
1004,WSI,Anger,XX,will start in a couple of minutes
1004,WSI,Disgust,XX,will start in a couple of minutes
1004,WSI,Neutral,XX,will stop in a couple of minutes
1005,DFA,Anger,XX,don't forget to jacket
1005,DFA,Disgust,XX,jacket jacket
1005,DFA,Fear,XX,don't forget to jacket
1005,DFA,Happy,XX,don't forget to jacket
1005,DFA,Neutral,XX,don't forget to jacket
1005,DFA,Sad,XX,don't forget the jacket
1005,IEO,Anger,HI,is 11:00
1005,IEO,Anger,LO,it's 11:00
1005,IEO,Anger,MD,it's 11 O'Clock
1005,IEO,Disgust,HI,it's 11:00
1005,IEO,Disgust,MD,is 11:00
1005,IEO,Fear,HI,11 o'clock
1005,IEO,Fear,LO,11:00
1005,IEO,Fear,MD,it's 11:00
1005,IEO,Happy,HI,is 11:00
1005,IEO,Happy,LO,set alarm clock
1005,IEO,Happy,MD,it's a 11:00
1005,IEO,Neutral,XX,it's 11:00
1005,IEO,Sad,HI,it's 11:00
1005,IEO,Sad,MD,Salman Khan
1005,IOM,Anger,XX,I am on my way to the meeting
1005,IOM,Disgust,XX,I'm on my way to the meaning
1005,IOM,Fear,XX,I am on my way to the meeting
1005,IOM,Happy,XX,I am on my way to the meeting
1005,IOM,Neutral,XX,I am on my way to the meeting
1005,IOM,Sad,XX,I'm on my way to the meeting
1005,ITH,Anger,XX,I think I have a doctor's appointment
1005,ITH,Disgust,XX,I think I have a doctor's appointment
1005,ITH,Fear,XX,I think I have a doctor's appointment
1005,ITH,Happy,XX,I think I have a doctor's appointment
1005,ITH,Neutral,XX,I think I have a doctor's appointment
1005,ITH,Sad,XX,I think I have a doctor's appointment
1005,ITS,Anger,XX,I think I've seen this before
1005,ITS,Disgust,XX,seeing this before
1005,ITS,Fear,XX,I think I saying this before
1005,ITS,Happy,XX,I think I've seen this before
1005,ITS,Neutral,XX,I think I've seen this before
1005,ITS,Sad,XX,I think I've seen this
1005,IWL,Anger,XX,I would like a new alarm clock
1005,IWL,Disgust,XX,I would like to knew alarm
1005,IWL,Fear,XX,I would like to knew a long clock
1005,IWL,Happy,XX,I would like a new alarm clock
1005,IWL,Neutral,XX,I would like a new alarm clock
1005,IWL,Sad,XX,I would like a new alarm clock
1005,IWW,Anger,XX,one day but this is about
1005,IWW,Fear,XX,this is about
1005,IWW,Happy,XX,I Wonder What this is about
1005,IWW,Neutral,XX,I Wonder What this is about
1005,IWW,Sad,XX,I Wonder What this is about
1005,MTI,Anger,XX,maybe tomorrow will be cold
1005,MTI,Disgust,XX,maybe tomorrow I will be cold
1005,MTI,Fear,XX,baby tomorrow will be cold
1005,MTI,Happy,XX,baby tomorrow it will be cold
1005,MTI,Neutral,XX,maybe tomorrow I will be cold
1005,MTI,Sad,XX,maybe tomorrow it will be cold
1005,TAI,Anger,XX,the airplane is almost fall
